Wall time,Step,Value
1582482311.4134097,564947,0.6459292769432068
1582482311.519645,567519,0.5027024745941162
1582482311.5706716,568521,0.5190814137458801
1582482311.6277344,569556,0.3519234359264374
1582482311.643467,569939,0.3922998011112213
1582488250.425568,570112,0.3327636122703552
1582488250.4349482,570347,0.22298361361026764
1582488250.4602807,570963,0.3222842514514923
1582488250.4861796,571563,0.41862165927886963
1582488250.5333178,572627,0.3336549997329712
1582488250.540589,572770,0.6907591819763184
1582488250.5904555,573930,0.3930519223213196
1582488250.600838,574195,0.5791177749633789
1582488250.6435144,575238,0.49658873677253723
1582488250.772328,578113,0.284231960773468
1582488250.814138,579047,0.3663748800754547
1582494182.3046753,580181,0.4909282326698303
1582494182.412366,582457,0.31389686465263367
1582494182.4281042,582827,0.47219833731651306
1582494182.5117004,584766,0.3300907611846924
1582494182.58086,586337,0.5071059465408325
1582494182.6013064,586829,0.2401292622089386
1582494182.6558688,588128,0.2751341164112091
1582494182.6769307,588616,0.5200341939926147
1582494182.7249796,589702,0.245648592710495
1582500330.4844372,590201,0.26729467511177063
1582500330.5021265,590618,0.3021577000617981
1582500330.508374,590755,0.277079701423645
1582500330.5186472,591001,0.2436530590057373
1582500330.5514932,591784,0.4206708073616028
1582500330.5777907,592408,0.2599027752876282
1582500330.6248047,593535,0.3510110676288605
1582500330.6503294,594200,0.25939127802848816
1582500330.6519763,594235,0.4704190492630005
1582500330.6549437,594311,0.2068425714969635
1582500330.6744497,594755,0.35228294134140015
1582500330.7044508,595480,0.2519843280315399
1582500330.705643,595504,0.3441656231880188
1582500330.843373,598602,0.23101428151130676
1582506328.3165631,601317,0.1690315157175064
1582506328.478611,604802,0.320207417011261
1582506328.4793835,604820,0.4264581501483917
1582506328.4994757,605318,0.32444044947624207
1582506328.5451124,606415,0.3353431522846222
1582506328.6703746,609121,0.2476581186056137
1582506328.6737692,609181,0.31005218625068665
1582512426.3960018,611799,0.27434781193733215
1582512426.4785733,613764,0.23450563848018646
1582512426.493507,614137,0.3771907389163971
1582512426.5540648,615461,0.15728886425495148
1582512426.5663986,615758,0.2197147011756897
1582512426.6384008,617444,0.39420825242996216
1582512426.741819,619917,0.2584260106086731
1582518427.3546278,621258,0.23557932674884796
1582518427.410478,622426,0.20137564837932587
1582518427.6567144,628091,0.23826736211776733
1582518427.6707797,628410,0.2090003788471222
1582518427.6773183,628568,0.334527850151062
1582518427.7315176,629598,0.3406623601913452
1582524401.9481933,630447,0.15241223573684692
1582524401.9760606,630926,0.17048224806785583
1582524402.009023,631783,0.21674852073192596
1582524402.1915274,635950,0.16294395923614502
1582524402.207871,636324,0.1888098567724228
1582524402.271669,637693,0.1516588032245636
1582524402.2903852,638118,0.19609536230564117
1582530285.8622646,640771,0.16458220779895782
1582530286.030354,644604,0.20191337168216705
1582530286.0323114,644643,0.1348494589328766
1582530286.1221457,646538,0.12842631340026855
1582530286.1373568,646827,0.12101518362760544
1582530286.1932888,647940,0.17452487349510193
1582530286.2004,648090,0.18051762878894806
1582536277.511705,650120,0.1837310642004013
1582536277.527598,650460,0.16245810687541962
1582536277.5615609,651230,0.11482672393321991
1582536277.5629866,651254,0.4677458107471466
1582536277.612435,652345,0.16410194337368011
1582536277.6303344,652769,0.27062588930130005
1582536277.6845706,654060,0.19364657998085022
1582536277.7501545,655624,0.18473726511001587
1582536277.8053412,656966,0.16615232825279236
1582536277.8828545,658687,0.18377187848091125
1582536277.8855217,658753,0.1134229451417923
1582536277.9299555,659848,0.1602746844291687
1582542265.6127691,660975,0.17090529203414917
1582542265.644019,661615,0.11691503971815109
1582542265.7029963,662852,0.21331597864627838
1582542265.7285688,663405,0.15242058038711548
1582542265.7358494,663603,0.15475265681743622
1582542265.7566655,664172,0.15569885075092316
1582542265.803027,665116,0.19451795518398285
1582542265.9074447,667497,0.15518242120742798
1582542265.9396777,668247,0.12911565601825714
1582542265.9510407,668480,0.13992269337177277
1582548195.8530035,670098,0.15475516021251678
1582548195.8602188,670290,0.16977182030677795
1582548195.8845503,670851,0.12626120448112488
1582548195.9460394,672190,0.21701247990131378
1582548195.9513965,672320,0.20479850471019745
1582548195.955888,672439,0.18643896281719208
1582548195.9584892,672501,0.2780205011367798
1582548195.9629838,672604,0.22222019731998444
1582548195.9832084,673069,0.10721064358949661
1582548195.9977512,673433,0.16653023660182953
1582548196.0322268,674232,0.24733306467533112
1582548196.1693473,677444,0.1242128238081932
1582554282.3231657,681441,0.3479973077774048
1582554282.3623867,682393,0.19438748061656952
1582554282.4278216,683713,0.37077653408050537
1582554282.5632253,686412,0.19997477531433105
1582554282.5876386,686898,0.09964703023433685
1582554282.588755,686930,0.14178365468978882
1582554282.699129,689415,0.23937800526618958
1582554282.715407,689717,0.09651443362236023
1582560279.0469654,690305,0.1398279368877411
1582560279.060047,690617,0.1335771530866623
1582560279.087049,691286,0.19132527709007263
1582560279.128404,692223,0.22429826855659485
1582560279.148086,692699,0.15945936739444733
1582560279.1689107,693193,0.15842987596988678
1582560279.1926284,693736,0.20788177847862244
1582560279.20547,694018,0.16777975857257843
1582560279.3372724,697167,0.16790451109409332
1582560279.3394303,697219,0.11580207943916321
1582560279.3428228,697285,0.12543705105781555
1582560279.388328,698427,0.15727922320365906
1582560279.399163,698704,0.265737920999527
1582560279.4145534,699048,0.16765432059764862
1582560279.434772,699539,0.2524316608905792
1582560279.4423318,699730,0.19270451366901398
1582560279.4491968,699897,0.1288687288761139
1582566213.824508,701750,0.20739269256591797
1582566213.8803415,702913,0.11381054669618607
1582566213.8937657,703186,0.12262734770774841
1582566213.9585273,704610,0.17541691660881042
1582566213.9902198,705361,0.13668186962604523
1582566213.9988766,705575,0.15585947036743164
1582566214.1436856,708926,0.13634759187698364
1582566214.1653833,709456,0.12164591997861862
1582566214.1678593,709510,0.27571025490760803
1582572147.700694,711030,0.13909511268138885
1582572147.7657828,712614,0.11966807395219803
1582572147.8718631,714706,0.09944061934947968
1582572147.8824084,714875,0.19260765612125397
1582572147.8993976,715151,0.11532673239707947
1582572147.9822087,716849,0.15307796001434326
1582572148.0379062,718134,0.13177424669265747
1582572148.0817049,719039,0.14043262600898743
1582572148.1174948,719805,0.214951753616333
1582578198.9406774,720465,0.27926021814346313
1582578198.9670806,721009,0.15786391496658325
1582578199.005483,721787,0.1422985941171646
1582578199.0438426,722616,0.12127140909433365
1582578199.071843,723252,0.1780937761068344
1582578199.1040359,723965,0.1837906390428543
1582578199.108402,724062,0.26143795251846313
1582578199.1231344,724390,0.12271613627672195
1582578199.1494024,724974,0.10455147922039032
1582578199.3077896,728461,0.13361713290214539
1582578199.3443038,729108,0.21539291739463806
1582578199.3842983,729927,0.104928158223629
1582584210.9818552,731974,0.16134299337863922
1582584211.0234106,732869,0.15147411823272705
1582584211.0278978,732942,0.10038457810878754
1582584211.057997,733594,0.15231207013130188
1582584211.0792692,734125,0.23794622719287872
1582584211.0801141,734141,0.0925326943397522
1582584211.0840414,734225,0.09286481142044067
1582584211.1759753,736438,0.09224492311477661
1582584211.2014477,737032,0.15485474467277527
1582584211.2730956,738559,0.10797147452831268
1582584211.2927048,739026,0.19254451990127563
1582590182.1001337,740769,0.12799082696437836
1582590182.1046124,740878,0.20402951538562775
1582590182.1501641,741924,0.1690942943096161
1582590182.1563354,742051,0.1580156683921814
1582590182.2510233,743968,0.11103726923465729
1582590182.3379261,745720,0.1401599794626236
1582590182.3974617,746921,0.17128205299377441
1582590182.4032378,747066,0.10848444700241089
1582590182.4700632,748633,0.1034354418516159
1582590182.5063522,749449,0.08617394417524338
1582590182.5178719,749704,0.11743749678134918
1582596272.098426,750029,0.08586493879556656
1582596272.2663538,753654,0.12344244122505188
1582596272.326198,755072,0.16394905745983124
1582596272.326731,755085,0.09238690882921219
1582596272.3306856,755179,0.11735206097364426
1582596272.348117,755605,0.1338178813457489
1582596272.3688455,756101,0.16364142298698425
1582596272.3702135,756136,0.2316615879535675
1582596272.390814,756615,0.09953300654888153
1582596272.4221117,757290,0.16521456837654114
1582596272.4685333,758227,0.19600705802440643
1582596272.4707313,758268,0.17656472325325012
1582596272.4724185,758298,0.11634226888418198
1582602394.4565017,761187,0.13249525427818298
1582602394.4650648,761399,0.14491471648216248
1582602394.477502,761709,0.11246459931135178
1582602394.486381,761928,0.09177745133638382
1582602394.4888732,761991,0.10279747098684311
1582602394.5158954,762668,0.10891115665435791
